"ID","leader","meanSim","sdSim","cutoff","nFrameskip","nFrames"
"220","C",0.44363830084306,0.244952309406874,0,1,9091
"220","P",0.243197230338295,0.231856302653777,0,1,9095
"221","C",0.329118913262751,0.200908811226975,0,1,9116
"221","P",0.407731219290872,0.252668103692804,0,1,9145
"222","C",0.420280257289719,0.17702606544723,0,1,9126
"222","P",0.356209939319921,0.224080325194238,0,1,9103
"223","C",0.24207800881147,0.149011767489302,0,1,9109
"223","P",0.216002359064086,0.177043597065858,0,1,9086
"224","C",0.483610561471604,0.186353135803255,0,1,9041
"224","P",0.236020642207866,0.186534778715584,0,1,9079
"225","C",0.266328137694668,0.346961998583224,0,1,9101
"225","P",0.239055155745139,0.160791832319027,0,1,9145
"226","C",0.486119344038292,0.214087489883149,0,1,9076
"226","P",0.592873212139939,0.24133668553251,0,1,9089
